Latitude,Longitude,Bedrooms,Bathrooms,Square Feet,Year Built
36.06792963,-115.259304,4,3,2727,2015
36.1906921,-115.3168053,3,3,1998,2007
36.32033395,-115.3223824,4,3,1800,2021
36.03666792,-115.2938056,3,3,1931,2005
36.26402023,-115.1738813,4,2,1635,2003
36.07583232,-115.2792713,3,2,1536,2001
36.01955271,-115.1082476,4,3,2235,1999
36.22961092,-115.2073715,3,2,1282,1979
36.05679741,-114.9991634,5,3,2140,2023
35.99558665,-115.0546446,3,2,1022,1994
36.2459577,-115.1691926,5,2,1997,2001
36.28854712,-115.1579178,4,3,1586,2004
36.1613759,-115.1580078,3,2,1560,1984
36.07694381,-115.3045465,3,3,2005,2016
36.15209613,-115.3323912,3,3,1730,2014
36.30677861,-115.2293687,4,4,4380,2005
36.02306631,-115.1929628,4,3,1518,2004
33.70791234,-84.26050124,3,1,983,1954
28.02592136,-81.60380184,4,2,1892,2022
34.1915562,-84.16060767,5,3,2581,2019
33.71901541,-84.14798223,3,3,1729,2000
33.40297698,-84.0922487,3,2,1446,1998
33.94795786,-84.59645027,3,3,2046,1998
33.56931962,-84.62438574,4,3,1693,1975
33.85867383,-84.88414558,3,2,1457,2005
33.77300104,-84.0542902,3,2,1773,1988
34.08388963,-84.54414029,5,3,2153,1986
34.06648635,-84.61495743,4,4,3124,1999
33.58627225,-84.59150393,2,3,1373,2004
28.18153636,-82.71871978,3,2,1473,1984
27.97725054,-82.29065308,3,2,1639,1998
28.5057721,-82.50028862,4,2,1614,2004
28.27936201,-81.70110521,4,2,1869,2018
28.17235463,-82.3315482,4,3,2357,1994
27.87460235,-82.8154136,2,1,1171,1960
28.48658362,-81.45091576,3,1,1521,1959
28.00709957,-81.75109109,3,2,1295,2020
27.00749624,-82.13946276,3,2,1203,2020
27.44356649,-82.56171951,3,2,1229,1986
28.43568397,-81.59662365,3,2,1731,2018
28.57035068,-81.29903148,3,1,1252,1956
28.2109559,-81.59390095,3,2,1579,1990
28.83392096,-81.89988684,3,2,2122,1982
27.98351119,-82.39932517,3,2,1409,2021
28.13339882,-81.59070234,3,2,2170,2006
28.60113624,-81.46665593,3,2,1534,1984
28.01112064,-82.46286629,4,2,1241,1932
28.24418048,-82.23753869,3,2,1618,1995
28.23686084,-81.61538234,3,2,1612,2005
28.60095753,-81.51510783,4,3,2335,2018
28.26157907,-81.62141529,5,3,2689,2018
26.61214464,-81.97995819,4,2,1833,2017
28.32845455,-81.58400113,3,3,1503,2020
28.52990825,-81.61188547,3,3,2125,2017
28.54793863,-81.54314344,4,3,2033,2019
28.54477158,-81.55510827,4,3,2172,2020
27.85423018,-82.48524261,4,3,2457,2020
27.81509825,-82.37355948,4,2,1967,2020
29.55440495,-81.18139696,3,2,1905,2001
28.29378147,-82.34281248,4,3,1882,2022
28.26487905,-82.36959375,2,2,1566,2003
27.74934121,-82.65164649,3,2,1980,1925
